id_lettera;similar_ID;similarity_value
id_lettera;['id_lettera'];[1.0]
AGR_Audience257-BIS_007;['AGR_Audience257-BIS_002', 'AGR_Audience257-BIS_007', 'AGR_Audience257-BIS_008', 'AGR_Audience257-BIS_010', 'AGR_Audience257-BIS_019'];[0.16, 1.0, 0.194, 0.153, 0.167]
AGR_Audience257-BIS_008;['KBR_ms.III.1635_004', 'KBR_ms.III.1635_007', 'AGR_Audience257-BIS_002', 'AGR_Audience257-BIS_004', 'AGR_Audience257-BIS_005', 'AGR_Audience257-BIS_006', 'AGR_Audience257-BIS_007', 'AGR_Audience257-BIS_008', 'AGR_Audience257-BIS_010', 'AGR_Audience257-BIS_011', 'AGR_Audience257-BIS_012', 'AGR_Audience257-BIS_014', 'AGR_Audience257-BIS_016', 'AGR_Audience257-BIS_017', 'AGR_Audience257-BIS_019', 'AGR_Audience257-BIS_021', 'AGR_Audience257-BIS_024', 'AGR_Audience257-BIS_026', 'AGR_Audience257-BIS_027', 'AGR_Audience257-BIS_028'];[0.173, 0.183, 0.189, 0.157, 0.157, 0.201, 0.194, 1.0, 0.242, 0.189, 0.236, 0.215, 0.18, 0.187, 0.306, 0.219, 0.198, 0.189, 0.18, 0.203]
AGR_Audience257-BIS_009;['AGR_Audience257-BIS_009', 'AGR_Audience257-BIS_010', 'AGR_Audience257-BIS_011'];[1.0, 0.156, 0.179]
AGR_Audience257-BIS_010;['KBR_ms.III.1635_001', 'KBR_ms.III.1635_004', 'KBR_ms.III.1635_007', 'AGR_Audience257-BIS_002', 'AGR_Audience257-BIS_005', 'AGR_Audience257-BIS_006', 'AGR_Audience257-BIS_007', 'AGR_Audience257-BIS_008', 'AGR_Audience257-BIS_009', 'AGR_Audience257-BIS_010', 'AGR_Audience257-BIS_011', 'AGR_Audience257-BIS_012', 'AGR_Audience257-BIS_014', 'AGR_Audience257-BIS_015', 'AGR_Audience257-BIS_016', 'AGR_Audience257-BIS_018', 'AGR_Audience257-BIS_019', 'AGR_Audience257-BIS_020', 'AGR_Audience257-BIS_021', 'AGR_Audience257-BIS_028'];[0.213, 0.214, 0.186, 0.191, 0.19, 0.159, 0.153, 0.242, 0.156, 1.0, 0.151, 0.152, 0.174, 0.166, 0.195, 0.156, 0.167, 0.159, 0.157, 0.176]
AGR_Audience257-BIS_011;['KBR_ms.III.1635_004', 'KBR_ms.III.987_001', 'AGR_Audience257-BIS_001', 'AGR_Audience257-BIS_002', 'AGR_Audience257-BIS_005', 'AGR_Audience257-BIS_008', 'AGR_Audience257-BIS_009', 'AGR_Audience257-BIS_010', 'AGR_Audience257-BIS_011', 'AGR_Audience257-BIS_012', 'AGR_Audience257-BIS_016', 'AGR_Audience257-BIS_017', 'AGR_Audience257-BIS_018', 'AGR_Audience257-BIS_019', 'AGR_Audience257-BIS_023', 'AGR_Audience257-BIS_024', 'AGR_Audience257-BIS_027'];[0.182, 0.231, 0.212, 0.173, 0.178, 0.189, 0.179, 0.151, 1.0, 0.155, 0.177, 0.165, 0.219, 0.178, 0.172, 0.236, 0.168]
AGR_Audience257-BIS_012;['KBR_ms.III.1635_001', 'AGR_Audience257-BIS_002', 'AGR_Audience257-BIS_005', 'AGR_Audience257-BIS_006', 'AGR_Audience257-BIS_008', 'AGR_Audience257-BIS_010', 'AGR_Audience257-BIS_011', 'AGR_Audience257-BIS_012', 'AGR_Audience257-BIS_014', 'AGR_Audience257-BIS_019', 'AGR_Audience257-BIS_021', 'AGR_Audience257-BIS_027', 'AGR_Audience257-BIS_028'];[0.155, 0.207, 0.181, 0.22, 0.236, 0.152, 0.155, 1.0, 0.342, 0.217, 0.172, 0.251, 0.293]
AGR_Audience257-BIS_014;['AGR_Audience257-BIS_002', 'AGR_Audience257-BIS_006', 'AGR_Audience257-BIS_008', 'AGR_Audience257-BIS_010', 'AGR_Audience257-BIS_012', 'AGR_Audience257-BIS_014', 'AGR_Audience257-BIS_019', 'AGR_Audience257-BIS_021', 'AGR_Audience257-BIS_027', 'AGR_Audience257-BIS_028'];[0.195, 0.227, 0.215, 0.174, 0.342, 1.0, 0.328, 0.213, 0.221, 0.266]
AGR_Audience257-BIS_015;['AGR_Audience257-BIS_010', 'AGR_Audience257-BIS_015'];[0.166, 1.0]
AGR_Audience257-BIS_016;['KBR_ms.III.1635_001', 'KBR_ms.III.1635_004', 'KBR_ms.III.987_001', 'AGR_Audience257-BIS_002', 'AGR_Audience257-BIS_005', 'AGR_Audience257-BIS_008', 'AGR_Audience257-BIS_010', 'AGR_Audience257-BIS_011', 'AGR_Audience257-BIS_016', 'AGR_Audience257-BIS_018', 'AGR_Audience257-BIS_019', 'AGR_Audience257-BIS_024', 'AGR_Audience257-BIS_025', 'AGR_Audience257-BIS_028'];[0.182, 0.172, 0.186, 0.18, 0.235, 0.18, 0.195, 0.177, 1.0, 0.176, 0.158, 0.202, 0.598, 0.161]
AGR_Audience257-BIS_017;['KBR_ms.III.1635_006', 'KBR_ms.III.1635_007', 'AGR_Audience257-BIS_008', 'AGR_Audience257-BIS_011', 'AGR_Audience257-BIS_017'];[0.165, 0.155, 0.187, 0.165, 1.0]
