id_lettera;testo
1;"Molto Illustre Signor avendo inteso che il forte di Blerich  dove sta il capitano Bernabò Barboni  resta con così poca gente  senza polvere e senza viveri se non di giorno in giorno  se ben mi persuado che questo non possa essere  e che Vostra Signoria – poiché sa quello che conviene  e se li è ricordato – avrà rimediato a tutto. Non posso perciò lasciare di avvertirla che  sì per la reputazione come per tutto quello che può succedere  non è conveniente che stia della maniera che mi dicono; quindi la prego a volersi informare bene di tutto quello che occorre in questo particolare e  stando così  dar ordine così espresso  che non ci sia mancamento perché i soldati vi possano vivere e abbiano qualche munizione di riserva  e la polvere necessaria. Che  per il medesimo effetto  scrivo anche al cavaliere Cigogna che assista e faccia quello che conviene  e confido che quando questo non sia possa fare  avvisandomelo lei  più volentieri darò ordine che s’abbandoni e smantelli che correr rischio di ricever qualche danno  con diminuzione della reputazione E aspettando risposta  resto pregando Nostro Signor che conservi Vostra Signoria come può. Di Brusselles  a’ 8 di marzo 1586."
2;"Magnifico messer Francesco honorando  Io ho fatto intendere a messer Giovani Caccini chome sua eccellenza illustrissima m’à commissionato  che io faccia intendergli come sia mandi una scafaquanto prima a Seraveza per condurre e marmi per e cavalli per la fonte di piazza  e che io soleciti el tutto; così l'ho mandato a messer Giovanni. Egli ha detto che ve ne scriverà  e perché egli ha assai faccende  ve l'ho voluto ricordare io  e pregarvi  quanto più presto potete  mandare una barchetta a Seraveza  cioè alla spiaggia del mare  che lì sono posti e marmi de’ due cavalli e altri misti. Dite allo barcaiolo che faccia motto a messer Mateo Inghilani  ho a Rafaello scalpellino  che di subito lo farà caricare  e io subito manderò in Pisa e danari per e noli  oppure lo pagherò a Firenze se egli li porta al porto a Signia che l’aque fossero alte. E se vostra signoria mi manda quel pezo di marmo ch’è in Pisa per quel cavallo  mi farete servitio  che forse prima che sia rompi le strade sia potrà condurre co’ carri in Firenze. E tutto pagherò  sì che io possa adempire la voglia di sua eccellenza illustre. E a voi mi racomando. Di Firenze  agli 13 d’otobre 1565."
3;"Magnifico messer Francesco honorando Io ho commissione da sua eccellenza illustrissima di fare venire  quanto sia più presto possibile  e cavalli di marmo per la fontana di piazza  sì come altra volta ne ho scritto a vostra signoria. E  per no sia essere possuto fare altro  siamo ridutti sino ad esso  però prego vostra signoria che mandi una barchetta a Carrara che carichi quelo che vi è condotto a Marina  che deve essere circa a 6 carrate. Saragli dato aiuto a caricarlo dal capitano Iacomo Diana  e pagherà quanto farà di bisogno per caricarlo  che tanto mi ha promesso  di gratia  no mancare. Io lo dissi a messer Giovani Caccini; egli mi dise che io ve ne scrivesse  e che pensava  fra pochi giorni  essere egli in Pisa  e farebbe che sia manderebbe. Però prego l’uno e l’altro  a benifitio di sua eccellenza  che sia faccia quello che sia può: mandando barchetta  fate che lo barcaiolo porti 4 legni come bordoni grandi da poter caricare dette marmo. E perché lo barcaiolo forse farà dificultà di andare per uno pezo di marmo solo  messer Giovan Vitorio Soderini ve n’à molte carrate  e dice che sia carichino  che egli pagherà quanto sia l’ordinario  e il dovete giudicare da voi altri  ma che vorebe che la medesima barchetta li conduscessi al porto di Signia  e fare tuto uno solo  e così sarebbe vantaggio a mandare el marmo per el cavallo  e in Firenze lo barcaiolo serà paghato. Però vostra signoria veda di condure questa facenda a buon fine  che ho di bisognio di deto marmo per cominciare a lavorare  e tirare innanzi tutto la fonte di piaza. 
Se vostra signoria ha modo di potere mandare quel marmo che è in Pisa di quel cavallo  di gratia mandatelo  ho per nave oppure scafa. Mandatelo  di gratia  e fatene mercato  che tanto sia paggerà. Altro no mi occorre. A vostra signoria mi racomando: se v’è messer Giovani  racomandatemi a lui; e di voi sono. Di Firenze  agli xviiii di Gennaio 1565. 
Di vostra signoria amorevole "
