Source;Target;Type;Weight
KBR_ms.III.1635_002;KBR_ms.III.987_001;Undirected;0.059
KBR_ms.III.1635_002;AGR_Audience2152-4_001;Undirected;0.008
KBR_ms.III.1635_002;AGR_Audience2152-4_003;Undirected;0.004
KBR_ms.III.1635_002;AGR_Audience244-F_001;Undirected;0.057
KBR_ms.III.1635_002;AGR_Audience257-BIS_001;Undirected;0.076
KBR_ms.III.1635_002;AGR_Audience257-BIS_002;Undirected;0.093
KBR_ms.III.1635_002;AGR_Audience257-BIS_003;Undirected;0.053
KBR_ms.III.1635_002;AGR_Audience257-BIS_004;Undirected;0.069
KBR_ms.III.1635_002;AGR_Audience257-BIS_005;Undirected;0.114
KBR_ms.III.1635_002;AGR_Audience257-BIS_006;Undirected;0.054
KBR_ms.III.1635_002;AGR_Audience257-BIS_007;Undirected;0.026
KBR_ms.III.1635_002;AGR_Audience257-BIS_008;Undirected;0.043
KBR_ms.III.1635_002;AGR_Audience257-BIS_009;Undirected;0.021
KBR_ms.III.1635_002;AGR_Audience257-BIS_010;Undirected;0.038
KBR_ms.III.1635_002;AGR_Audience257-BIS_011;Undirected;0.094
KBR_ms.III.1635_002;AGR_Audience257-BIS_012;Undirected;0.089
KBR_ms.III.1635_002;AGR_Audience257-BIS_014;Undirected;0.046
KBR_ms.III.1635_002;AGR_Audience257-BIS_015;Undirected;0.036
KBR_ms.III.1635_002;AGR_Audience257-BIS_016;Undirected;0.079
KBR_ms.III.1635_002;AGR_Audience257-BIS_017;Undirected;0.048
KBR_ms.III.1635_002;AGR_Audience257-BIS_018;Undirected;0.082
KBR_ms.III.1635_002;AGR_Audience257-BIS_019;Undirected;0.053
KBR_ms.III.1635_002;AGR_Audience257-BIS_020;Undirected;0.1
KBR_ms.III.1635_002;AGR_Audience257-BIS_021;Undirected;0.106
KBR_ms.III.1635_002;AGR_Audience257-BIS_022;Undirected;0.052
KBR_ms.III.1635_002;AGR_Audience257-BIS_023;Undirected;0.06
KBR_ms.III.1635_002;AGR_Audience257-BIS_024;Undirected;0.031
KBR_ms.III.1635_002;AGR_Audience257-BIS_025;Undirected;0.058
KBR_ms.III.1635_002;AGR_Audience257-BIS_026;Undirected;0.018
KBR_ms.III.1635_002;AGR_Audience257-BIS_027;Undirected;0.12
KBR_ms.III.1635_002;AGR_Audience257-BIS_028;Undirected;0.065
KBR_ms.III.1635_002;AGR_Audience1398-6_001;Undirected;0.013
KBR_ms.III.1635_003;KBR_ms.III.1635_004;Undirected;0.1
KBR_ms.III.1635_003;KBR_ms.III.1635_005;Undirected;0.079
KBR_ms.III.1635_003;KBR_ms.III.1635_006;Undirected;0.096
